Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0),0.1>rho>0.001,Internationality(0.1>rho>0.001),0.99>rho>0.9,Internationality(0.99>rho>0.9),0.9>rho>0.101,Internationality(0.9>rho>0.101),rho>1,Internationality(rho>1)
Uppsala University,102,38,5070,379,0.484691615,0.9252465483,102,0.00024461400526820665,0.6696795563173572,0.0010208124410362174,0.6697067181674163,0.9000981970669722,0.7014644591120998,0.101703207789021,0.6732386524749564,750207.0736143054,0.0
Queen Mary University London,85,38,3018,462,0.46719743700000005,0.8469184891,110,0.00013231225136922653,0.6290332095835336,0.0010181764845878655,0.6290578573661852,0.9000314382029732,0.6542706465365802,0.1014336508612883,0.6318575991275216,410025.1440011034,0.0
University of Birmingham,145,53,4034,712,0.5684712516,0.8235002479000001,112,2.9470236930562166e-05,0.6842051522396038,0.0010188088540664664,0.6842167743935949,0.9000464073686953,0.6948106140466017,0.10104761282165176,0.6853928024575655,228480.4357326267,0.0
University of Bern,63,19,1922,290,0.4775185428,0.8491155047,113,0.00010788964361929665,0.6367668504317578,0.0010690613448849362,0.6367921976276927,0.9001681184498043,0.6606791781349917,0.10177879642700716,0.6394532421528296,84625.23307013622,0.0
Case Western Reserve University,72,11,1268,566,0.4958996212,0.5536277603,119,0.0012569286752985853,0.5239702689596777,0.001119439154458557,0.5239701597626327,0.9001237080779447,0.52468436145015,0.10103474988553685,0.5240495201714102,749615.5662895573,0.0
University of Gottingen,64,25,1491,365,0.3608238379,0.7551978537999999,125,0.0004003980022608822,0.5220232447924432,0.0010310102629120244,0.522045692827803,0.9000309767215017,0.5544405390213293,0.10114861881767356,0.5256210273942742,249346.47944813012,0.0
Maastricht University,47,19,958,140,0.5157405860000001,0.8538622129000001,127,0.0009158381730720588,0.663624161245122,0.0011083559128906018,0.6636282205462831,0.900015171028515,0.6826900577263469,0.10101128371716284,0.6657378297403923,93089.83573895502,0.0
Radboud University Nijmegen,104,37,1842,342,0.42329532659999997,0.8143322476,128,4.238666787403922e-05,0.5871154898802615,0.0010026837126081703,0.5871456617301837,0.9000148809458548,0.6156642739883958,0.10113472785274602,0.5902996817325211,935031.8242210435,0.0
University of Western Australia,98,38,2636,460,0.40955964170000003,0.8254931715,131,0.0007715637955836296,0.5814814925048798,0.0010069327374776782,0.5814898969372063,0.9000486910671566,0.613946927609503,0.10101903294507944,0.5850713340802797,568600.4059002287,0.0
Durham University,91,48,2282,548,0.5371087992,0.7598597720999999,133,4.318236990985547e-05,0.6388488867231455,0.0010896688532838206,0.6388589453111473,0.9000274113181267,0.6475226986029606,0.10100459118885818,0.6398199845676639,774404.1454317323,0.0
University of Vienna,98,54,1483,257,0.5835490372,0.8267026298000001,134,0.00014599492180988882,0.6945672465127533,0.0010319108472466726,0.694576578368018,0.9001399596377145,0.704073208893331,0.10160934328690585,0.6956367771351093,562991.2920177914,0.0
University of Cape Town,45,15,582,95,0.4701238462,0.8367697595,136,0.0008124504371442853,0.6272256204399727,0.0010253340960303114,0.6272311686921573,0.9000756036284175,0.6508374413469642,0.10186938692618508,0.6298645462582276,981749.3152868176,0.0
Tufts University,57,12,1055,376,0.3145422354,0.6436018957,139,0.0001560117603822686,0.4499378028104517,0.0010008321173645956,0.4499621595164184,0.9000306209563822,0.47618098828447103,0.10154538620407227,0.45286971036108553,282261.56586777343,0.0
Ulm University,62,23,804,221,0.4455561717,0.7251243781000001,141,0.0010399766834197077,0.568421996685648,0.0011098619353779315,0.56842317445492,0.9000224841078819,0.5836530376118262,0.10100600997932768,0.5701090396969609,19478.340281255976,0.0
University of Geneva,91,29,2941,300,0.38349147009999995,0.8979938796,144,0.00024710738115807374,0.586846142225927,0.00100592206169281,0.5868864405217151,0.9001005576411458,0.6354138281086538,0.10173790052453069,0.592258943002098,581286.8443049828,0.0
University of Exeter,47,12,1179,263,0.4255073871,0.7769296014,146,0.0003154505198346147,0.574977160581083,0.0010473301705924785,0.5749962282561523,0.9000565341264888,0.5986090665543751,0.10108753248391666,0.5776081288711962,481221.66281199583,0.0
University of Sussex,55,21,873,137,0.5006676309,0.8430698740000001,146,0.001482717005474532,0.6497232384546897,0.0010209587413822982,0.6497130547898534,0.900002279551075,0.6696599087264822,0.10185087205689047,0.6519402961264354,577338.210625741,0.0
University of Hamburg,80,24,1387,327,0.4589029431,0.7642393654999999,149,0.00042659042340864595,0.5922173791915618,0.001063974005080237,0.5922296538364126,0.9000354785735043,0.6096431103653425,0.10120973351087392,0.5941611936699397,773149.0142842791,0.0
